legislator_id,nombre,distrito,bloque,mandato_inicio,mandato_fin,foto
HCDN3100,"Outes, Pablo",Salta,Innovación Federal,2023-12-10,2027-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN3100.jpg
HCDN3061,"Pagano, Marcela Marina",Buenos Aires,Coherencia,2023-12-10,2027-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN3061.jpg
HCDN1009,"Pais, Juan Mario",Chubut,Frente para la Victoria - Pj,2007-12-10,2011-12-09,
HCDN1009,"Pais, Juan Mario",Chubut,Frente para la Victoria - Pj,2011-12-10,2015-12-09,
HCDN2904,"Palazzo, Sergio Omar",Buenos Aires,Unión por la Patria,2021-12-10,2025-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2904.jpg
HCDN2904,"Palazzo, Sergio Omar",Buenos Aires,Unión por la Patria,2025-12-10,2029-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2904.jpg
HCDN3158,"Palladino, Claudia Maria",Catamarca,Unión por la Patria,2025-12-10,2029-12-09,
HCDN1198,"Pansa, Sergio Horacio",San Luis,Compromiso Federal,2009-12-10,2013-12-09,
HCDN2922,"Paponet, Liliana",Mendoza,Unión por la Patria,2021-12-10,2025-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2922.jpg
HCDN1199,"Parada, Liliana Beatriz",CABA,Unidad Popular,2009-12-10,2013-12-09,
HCDN1037,"Paredes Urquiza, Alberto Nicolas",La Rioja,Frente para la Victoria - Pj,2007-12-10,2011-12-09,
HCDN3181,"Pareja, Sebastian",Buenos Aires,La Libertad Avanza,2025-12-10,2029-12-09,
HCDN2784,"Parola, Maria Graciela",Formosa,Frente de Todos,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2784.jpg
HCDN2784,"Parola, Maria Graciela",Formosa,Unión por la Patria,2023-12-10,2027-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2784.jpg
HCDN1010,"Paroli, Raul Omar",Catamarca,Frente Civico y Social de Catamarca,2007-12-10,2011-12-09,
HCDN1048,"Parrilli, Nanci Maria Agustina",Neuquén,Frente para la Victoria - Pj,2013-12-10,2015-12-09,
HCDN1081,"Pasini, Ariel Osvaldo Eloy",Buenos Aires,Frente para la Victoria - Pj,2007-12-10,2011-12-09,
HCDN1081,"Pasini, Ariel Osvaldo Eloy",Buenos Aires,Frente para la Victoria - Pj,2011-12-10,2015-12-09,
HCDN1460,"Passo, Marcela Fabiana",Buenos Aires,Federal Unidos por una Nueva Argentina,2015-12-10,2019-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1460.jpg
HCDN1460,"Passo, Marcela Fabiana",Buenos Aires,Unión por la Patria,2021-12-10,2025-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1460.jpg
HCDN1386,"Pastori, Luis Mario",Misiones,Ucr,2013-12-10,2017-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1386.jpg
HCDN1386,"Pastori, Luis Mario",Misiones,Ucr,2017-12-10,2021-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1386.jpg
HCDN1011,"Pastoriza, Mirta Ameliana",Santiago del Estero,Frente Civico por Santiago,2007-12-10,2011-12-09,
HCDN1011,"Pastoriza, Mirta Ameliana",Santiago del Estero,Frente Civico por Santiago,2011-12-10,2015-12-09,
HCDN1011,"Pastoriza, Mirta Ameliana",Santiago del Estero,Frente Civico por Santiago,2015-12-10,2019-12-09,
HCDN3250,"Patiño Brizuela, Marcos",Córdoba,La Libertad Avanza,2025-12-10,2029-12-09,
HCDN1564,"Patiño, Jose Luis",CABA,Union Pro,2013-12-10,2017-12-09,
HCDN1564,"Patiño, Jose Luis",CABA,Pro,2017-12-10,2021-12-09,
HCDN3105,"Pauli, Santiago",Tierra del Fuego,La Libertad Avanza,2023-12-10,2027-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN3105.jpg
HCDN3108,"Paulon, Esteban",Santa Fe,Provincias Unidas,2023-12-10,2027-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN3108.jpg
HCDN2902,"Pedrali, Gabriela",La Rioja,Unión por la Patria,2021-12-10,2025-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2902.jpg
