legislator_id,law_id,acta_id,legislador,distrito,bloque,voto,voto_raw,hcdn_asset_id,foto
HCDN1375,ley-bases-sancion-2024,5272,"Gaillard, Ana Carolina",Entre Ríos,Unión por la Patria,NEGATIVO,negativo,A50833,https://api.argentinadatos.com/static/diputados/diputados/HCDN1375.jpg
HCDN2860,ley-bases-sancion-2024,5272,"Marziotta, Gisela",CABA,Unión por la Patria,NEGATIVO,negativo,A51262,https://api.argentinadatos.com/static/diputados/diputados/HCDN2860.jpg
HCDN1524,ley-bases-sancion-2024,5272,"Snopek, Guillermo",Jujuy,Unión por la Patria,NEGATIVO,negativo,A50947,https://api.argentinadatos.com/static/diputados/diputados/HCDN1524.jpg
HCDN2831,ley-bases-sancion-2024,5272,"Cafiero, Santiago",Buenos Aires,Unión por la Patria,NEGATIVO,negativo,REC1953,https://api.argentinadatos.com/static/diputados/diputados/HCDN2831.jpg
HCDN2983,ley-bases-sancion-2024,5272,"Nieri, Lisandro",Mendoza,Ucr - Unión Cívica Radical,AFIRMATIVO,afirmativo,REC86,https://api.argentinadatos.com/static/diputados/diputados/HCDN2983.jpg
HCDN1361,ley-bases-sancion-2024,5272,"Carrizo, Ana Carla",CABA,Democracia para Siempre,AFIRMATIVO,afirmativo,A50810,https://api.argentinadatos.com/static/diputados/diputados/HCDN1361.jpg
HCDN1365,ley-bases-sancion-2024,5272,"Carrizo, Soledad",Córdoba,Ucr - Unión Cívica Radical,AFIRMATIVO,afirmativo,A50821,https://api.argentinadatos.com/static/diputados/diputados/HCDN1365.jpg
HCDN2362,ley-bases-sancion-2024,5272,"Campagnoli, Marcela",Buenos Aires,Coalicion Civica,AFIRMATIVO,afirmativo,A51061,https://api.argentinadatos.com/static/diputados/diputados/HCDN2362.jpg
HCDN1364,ley-bases-sancion-2024,5272,"Baldassi, Hector W.",Córdoba,Pro,AFIRMATIVO,afirmativo,A50820,https://api.argentinadatos.com/static/diputados/diputados/HCDN1364.jpg
HCDN2361,ley-bases-sancion-2024,5272,"Brambilla, Sofia",Corrientes,Pro,AFIRMATIVO,afirmativo,A51039,https://api.argentinadatos.com/static/diputados/diputados/HCDN2361.jpg
HCDN2354,ley-bases-sancion-2024,5272,"Ansaloni, Pablo",Buenos Aires,La Libertad Avanza,AFIRMATIVO,afirmativo,A51049,https://api.argentinadatos.com/static/diputados/diputados/HCDN2354.jpg
HCDN2366,ley-bases-sancion-2024,5272,"Carro, Pablo",Córdoba,Unión por la Patria,NEGATIVO,negativo,A51112,https://api.argentinadatos.com/static/diputados/diputados/HCDN2366.jpg
HCDN2350,ley-bases-sancion-2024,5272,"Allende, Walberto",San Juan,Unión por la Patria,NEGATIVO,negativo,A51078,https://api.argentinadatos.com/static/diputados/diputados/HCDN2350.jpg
HCDN2376,ley-bases-sancion-2024,5272,"Fernandez Patri, Ramiro",Formosa,Unión por la Patria,NEGATIVO,negativo,A51050,https://api.argentinadatos.com/static/diputados/diputados/HCDN2376.jpg
HCDN2401,ley-bases-sancion-2024,5272,"Lopez, Juan Manuel",Buenos Aires,Coalicion Civica,AFIRMATIVO,afirmativo,A51044,https://api.argentinadatos.com/static/diputados/diputados/HCDN2401.jpg
