id,nombre,distrito,source,foto
HCDN1446,"Buil, Sergio Omar",Buenos Aires,argentinadatos,
HCDN0860,"Bullrich, Esteban Jose",CABA,argentinadatos,
HCDN0509,"Bullrich, Patricia",CABA,argentinadatos,
HCDN1376,"Burgos, Maria Gabriela",Jujuy,argentinadatos,
HCDN1151,"Buryaile, Ricardo",Formosa,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN1151.jpg
HCDN2676,"Caballero, Alejandra Alcira",CABA,argentinadatos,
HCDN1360,"Cabandie, Juan",CABA,argentinadatos,
HCDN2785,"Cacace, Alejandro",San Luis,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2785.jpg
HCDN2861,"Caceres, Adriana",Buenos Aires,argentinadatos,
vote-caceres-adriana-cintia,"Cáceres, Adriana Cintia",,votes,
HCDN1394,"Caceres, Eduardo Augusto",San Juan,argentinadatos,
HCDN2831,"Cafiero, Santiago",Buenos Aires,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN2831.jpg
HCDN0969,"Calcagno y Maillmann, Eric",Buenos Aires,argentinadatos,
HCDN0981,"Calchaqui, Mariel",Tierra del Fuego,argentinadatos,
HCDN2800,"Caliva, Lia Veronica",Salta,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2800.jpg
HCDN1575,"Calleri, Agustin Santiago",Córdoba,argentinadatos,
HCDN2946,"Calletti, Pamela",Salta,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2946.jpg
HCDN0173,"Camaño, Graciela",Buenos Aires,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN0173.jpg
HCDN2362,"Campagnoli, Marcela",Buenos Aires,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2362.jpg
HCDN3044,"Campero, Mariano",Tucumán,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN3044.jpg
HCDN3093,"Campitelli, Celia",Santiago del Estero,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN3093.jpg
HCDN3198,"Campo, Julieta Marisol",Chaco,argentinadatos+hcdn,
