id,list_id,election_id,district_id,order,rol,nombre,elected,legislator_id,match_confidence,mandato_inicio,mandato_fin,foto
2019-buenos-aires-frente-de-todos-07,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,7,titular,"ANDRES, LARROQUE,",true,HCDN1275,exact,2019-12-10,2020-05-01,
2019-buenos-aires-frente-de-todos-08,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,8,titular,"FLORENCIA, LAMPREABE,",true,HCDN2761,exact,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2761.jpg
2019-buenos-aires-frente-de-todos-09,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,9,titular,"EDUARDO, DE PEDRO,",true,HCDN1253,exact,2019-12-10,2019-12-10,
2019-buenos-aires-frente-de-todos-10,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,10,titular,"LILIANA, YAMBRUN,",true,HCDN2826,fuzzy,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2826.jpg
2019-buenos-aires-frente-de-todos-11,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,11,titular,"FACUNDO, MOYANO,",true,HCDN1283,exact,2019-12-10,2021-08-13,https://api.argentinadatos.com/static/diputados/diputados/HCDN1283.jpg
2019-buenos-aires-frente-de-todos-12,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,12,titular,"DANIELA, VILAR,",true,HCDN2798,exact,2019-12-10,2021-12-16,https://api.argentinadatos.com/static/diputados/diputados/HCDN2798.jpg
2019-buenos-aires-frente-de-todos-13,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,13,titular,"RAMIRO, GUTIERREZ, CARLOS",true,HCDN2775,exact,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2775.jpg
2019-buenos-aires-frente-de-todos-14,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,14,titular,"BEATRIZ, ORMACHEA, CLAUDIA",true,HCDN2760,exact,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2760.jpg
2019-buenos-aires-frente-de-todos-15,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,15,titular,"CARLOS, CASTAGNETO,",true,HCDN1454,exact,2019-12-10,2019-12-11,https://api.argentinadatos.com/static/diputados/diputados/HCDN1454.jpg
2019-buenos-aires-frente-de-todos-16,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,16,titular,"NOEMI, APARICIO, ALICIA",true,HCDN2759,fuzzy,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2759.jpg
2019-buenos-aires-frente-de-todos-17,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,17,titular,"RODOLFO, TAILHADE,",true,HCDN1455,exact,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1455.jpg
2019-buenos-aires-frente-de-todos-18,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,18,titular,"MARTINEZ, MARIA ROSA",true,HCDN2776,exact,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2776.jpg
2019-buenos-aires-frente-de-todos-19,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,19,titular,"CARLOS, SELVA,",true,HCDN1459,exact,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1459.jpg
2019-buenos-aires-frente-de-todos-20,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,20,titular,"JIMENA, LOPEZ, MARIA",true,HCDN2851,exact,2019-12-10,2022-12-01,https://api.argentinadatos.com/static/diputados/diputados/HCDN2851.jpg
2019-buenos-aires-frente-de-todos-21,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,21,titular,"FEDERICO, FAGIOLI,",true,HCDN2844,exact,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2844.jpg
2019-buenos-aires-frente-de-todos-22,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,22,titular,"NATALIA, SOUTO,",true,HCDN2878,exact,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2878.jpg
2019-buenos-aires-frente-de-todos-23,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,23,titular,"CARLOS, ALDERETE, JUAN",true,HCDN2859,exact,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2859.jpg
2019-buenos-aires-frente-de-todos-24,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,24,titular,"MARINA, MORETTI,",false,,,,,
2019-buenos-aires-frente-de-todos-25,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,25,titular,"LISANDRO, BORMIOLI,",true,HCDN2862,exact,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2862.jpg
2019-buenos-aires-frente-de-todos-26,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,26,titular,"NATALIA, ZARACHO,",true,HCDN2976,exact,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2976.jpg
2019-buenos-aires-frente-de-todos-27,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,27,titular,"LUCIO, YAPOR,",true,HCDN2876,exact,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2876.jpg
2019-buenos-aires-frente-de-todos-28,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,28,titular,"NATALIA, ARRICAU, CAROLINA",true,HCDN3014,exact,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN3014.jpg
2019-buenos-aires-frente-de-todos-29,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,29,titular,"JUAN, MARINO,",true,HCDN3007,exact,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN3007.jpg
2019-buenos-aires-frente-de-todos-30,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,30,titular,"SOLEDAD, LOVATTO, MARIANA",false,,,,,
2019-buenos-aires-frente-de-todos-31,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,31,titular,"NAHUEL, BEIBE,",false,,,,,
2019-buenos-aires-frente-de-todos-32,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,32,titular,"NATALIA, BARREIRO,",false,,,,,
2019-buenos-aires-frente-de-todos-33,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,33,titular,"PABLO, AYALA,",false,,,,,
2019-buenos-aires-frente-de-todos-34,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,34,titular,"CLAUDIA, DIAZ,",false,,,,,
2019-buenos-aires-frente-de-todos-35,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,35,titular,"JORGE, CERMELO, FEDERICO",false,,,,,
